feature,importance_mean,importance_std
0,0.04443204086973855,0.019707042627636295
1,0.020614032464663246,0.009125591891468122
2,0.024184070661772687,0.012789161554309956
3,0.1334630871713524,0.02254407164456455
4,0.13313141166417147,0.029555291039504314
5,0.13772153115508956,0.023205165235610746
6,0.01816638367278236,0.009259695807444355
7,0.2109732977634866,0.029505167350895097
8,0.14299198982028405,0.021621849893306188
9,0.061449918466918586,0.02368398304334966
10,0.06071176119213813,0.01025621998859935
11,0.014951450379640567,0.012718083921486652
12,0.042113981469587426,0.01214147718197522
13,0.11554882516351059,0.024247713267456714
14,0.02473888377041322,0.00874843873233308
