feature,importance_mean,importance_std
0,0.022251194830368276,0.013396091587231151
1,0.031767422013208,0.008205177306072156
2,0.01203487490364492,0.00732439206788423
3,0.12995086730689517,0.02789206259100164
4,0.2570260421191343,0.03734870232119884
5,0.15571786283630157,0.028368848038752382
6,0.03668401843157918,0.010899258159415679
7,0.16193848175152506,0.018380173289394765
8,0.15394582586082584,0.03140549560412671
9,0.03441285221027804,0.013192089001266364
10,0.04052742587832735,0.012412035378277614
11,0.015732761887986585,0.00804033572182418
12,0.04842718964695178,0.01085468289520722
13,0.14661589572403677,0.027579237704721024
14,0.030065765377478845,0.012424166540682773
