feature,importance_mean,importance_std
0,0.013099407876546898,0.010571065312520594
1,0.032744786284895244,0.010542193242115595
2,0.029140110261786693,0.009468518930765848
3,0.1465354142738594,0.029354100312212004
4,0.23420105084134182,0.03802923027272138
5,0.08461727178766233,0.02258056426430234
6,0.04935326771542098,0.009878322979248521
7,0.16725069997202294,0.02093098383925171
8,0.1667748977426567,0.03155916234768958
9,0.11666986843017903,0.02956477955674826
10,0.05387702923574016,0.011474684675256162
11,0.0212497375259796,0.009722865101759189
12,0.04297090158718369,0.013001330880326876
13,0.12382217797421136,0.020022790250604848
14,0.03522762366411328,0.008491621614201857
