feature,importance_mean,importance_std
0,0.025166339201267953,0.014953080944931644
1,0.03390195173366549,0.010610848281731769
2,0.03265053995226258,0.012876712952394485
3,0.1028535540386322,0.02295175306159038
4,0.23574596961413086,0.04383285429105537
5,0.09105197423623798,0.019188231041895258
6,0.04194253568711366,0.011073762271491148
7,0.2179239389526542,0.032544605427513244
8,0.17261445421207658,0.036253058095908466
9,0.08318347352506697,0.024455742142204313
10,0.06985863217984903,0.014855881738271822
11,0.03683875689866346,0.010486424585569682
12,0.04650875675134927,0.012105496208257061
13,0.10381872088429313,0.02006424120779298
14,0.029367221344738986,0.013008925929201958
