feature,importance_mean,importance_std
0,0.012627501999999935,0.016386065310203722
1,0.023887498632143254,0.012687690373849253
2,0.004858633918779154,0.011511002595476468
3,0.13084601254679518,0.02631429372420722
4,0.21727651743003087,0.03567758099325106
5,0.1313115761879862,0.022339682416585366
6,0.03811218308479664,0.010804057039194435
7,0.17076808364805504,0.026614059222502456
8,0.20559820870866943,0.028199373559286388
9,0.08337436078756318,0.024004109421001223
10,0.043724763531146724,0.013832120195394202
11,0.037964840733465705,0.012947364738946959
12,0.06877512890524576,0.016437477628998214
13,0.13542175722428096,0.029073261102741936
14,0.05371493398683557,0.017809964529597128
