feature,importance_mean,importance_std
0,0.02136126782169558,0.010153896737148118
1,0.040651005111378334,0.007974275934656803
2,0.01840205001564121,0.012069166954986707
3,0.11343114347128087,0.02853260751444699
4,0.23117740405242848,0.0446074864264734
5,0.1367487334652011,0.024125413229826156
6,0.035378593157117916,0.010229951474822797
7,0.21286021718069695,0.030155516440361598
8,0.16113603534296725,0.024110724825649906
9,0.07713022415750231,0.02256265380411545
10,0.05472399980541873,0.01369858945887588
11,0.02982664654726375,0.014099330957654381
12,0.048193638185609025,0.01075915876377509
13,0.11267296630115556,0.024475788291886447
14,0.04798179455933953,0.017056298868972797
