feature,importance_mean,importance_std
0,0.010705882845860777,0.006443280208437229
1,0.02904215876956614,0.011337328032860142
2,0.014979158542601356,0.007625289379149246
3,0.12798846473266892,0.03133217144921163
4,0.17097700371418617,0.037619438763957264
5,0.08669723861610237,0.016198750146227854
6,0.0327263989697417,0.00824812342391344
7,0.15496232483313677,0.022291360060393946
8,0.12409242538166898,0.026080577154893904
9,0.07188862821888116,0.014922721791402225
10,0.05139813098226515,0.01136949748171004
11,0.025812938815242,0.00749410313215917
12,0.008080851036715589,0.006757324804118789
13,0.10986370748534593,0.019772901512620827
14,0.04093474992004999,0.010225829303716653
