feature,importance_mean,importance_std
0,0.002754340412509814,0.011248631095367893
1,0.037112660110498345,0.012708768035090115
2,0.012361346106822562,0.010017468406020826
3,0.1138722759195892,0.023374024320158684
4,0.19610457180782281,0.044786476738924906
5,0.10662637978798387,0.029276831964562683
6,0.05878648161566621,0.016518312624832332
7,0.14999165940953912,0.021861815529062124
8,0.17538593402272704,0.029350434920008883
9,0.0695329996313557,0.025021155289586476
10,0.058901454241338635,0.014509249564089588
11,0.023223412413445565,0.012845126797348448
12,0.014442771572832656,0.011313725298209964
13,0.121442011733202,0.02109016051259707
14,0.0335384833598535,0.01903731667924172
