feature,importance_mean,importance_std
0,0.018963604033777934,0.01003772061792459
1,0.013343272301215594,0.011298541571414649
2,0.015423661362563922,0.01513143198513705
3,0.11918663254088446,0.03362130441703046
4,0.18868939834736279,0.03786070198866811
5,0.11223405800312955,0.021144808924098132
6,0.0031811399112652698,0.01211398046451565
7,0.1607596511025466,0.02293511144683883
8,0.16596454452554135,0.02748442011525282
9,0.09678469536929066,0.02604873186581412
10,0.07368276068987446,0.015518506331274646
11,0.01696068452726196,0.01512369185988067
12,0.02649736685666826,0.01545471800238778
13,0.1191430956773748,0.03273556396386119
14,0.05855168725199399,0.015470193304949283
