filename,params,target,mse
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 44.40648986884316, 'layers': 1.0004574992693795, 'units': 37.20993153686558}",0.40549865569234295,0.5942665116593597
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 31.846771895375955, 'layers': 1.7450408455106836, 'units': 41.1004654338743}",0.40249477184618987,0.5973612700366131
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 40.77633468006714, 'layers': 2.676778057613179, 'units': 71.66975503570836}",0.46868402257263914,0.5312003210244283
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 47.56234872781891, 'layers': 1.1095503727917047, 'units': 70.3420759160562}",0.41620514842289935,0.5836540054915443
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 41.17379656891504, 'layers': 1.561547754380935, 'units': 27.829134017639092}",0.3930322303286094,0.6069088145310217
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 41.22480802064882, 'layers': 2.8758270994961737, 'units': 70.9513451535708}",0.442828601059141,0.5571572031987087
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 40.00095871650409, 'layers': 2.502951497612789, 'units': 71.92247659014517}",0.46868402257263914,0.5312003210244283
encodedOutputLayer1.csv,"{'activation': 'tanh', 'epochs': 40.913092228023906, 'layers': 2.4148882051235177, 'units': 73.35773144741277}",0.46500468601267686,0.5349024090233305
encodedOutputLayer1.csv,"{'activation': 'tanh', 'epochs': 40.09734581326963, 'layers': 4.483106600144194, 'units': 72.71699776515605}",0.47827377377003694,0.5215702860587413
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 41.48808037397073, 'layers': 5.0, 'units': 74.32511368999606}",0.29746327472570533,0.7023899080849851
encodedOutputLayer1.csv,"{'activation': 'tanh', 'epochs': 39.15214955708408, 'layers': 4.13590475470928, 'units': 71.46626964300846}",0.47645477051468443,0.5233160008540136
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 37.654640181180866, 'layers': 4.20605666028878, 'units': 72.84493481985206}",0.3818898490619157,0.6177608629134383
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 40.2108404462693, 'layers': 4.700007487262735, 'units': 71.04938578713656}",0.3640893858099311,0.6357044686746919
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 40.73435110840238, 'layers': 3.2225076737818252, 'units': 72.54640116552591}",0.4070196529973936,0.5929813467733098
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 41.13718705635439, 'layers': 3.0178740678356344, 'units': 70.80239422855098}",0.4159168968228316,0.5839095115806946
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 41.00408466915476, 'layers': 1.6479531052268945, 'units': 53.00192792552009}",0.4070601298334511,0.5928058818759073
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 39.69585013027256, 'layers': 2.6673052347533166, 'units': 83.87472512423517}",0.45816738871639007,0.5416847523155474
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 38.94003711357455, 'layers': 3.2004388521816662, 'units': 95.42644186834096}",0.3989162630418156,0.6008332404203528
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 41.01062191553357, 'layers': 2.965860561837014, 'units': 23.136450474592984}",0.43858327334485436,0.5613500994126179
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 40.30321253482626, 'layers': 2.9589711597304214, 'units': 71.70579230118877}",0.46868402257263914,0.5312003210244283
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 38.007382263826756, 'layers': 3.061313705426711, 'units': 16.307752554892733}",0.4188443538205956,0.5809518184398762
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 35.43542588989159, 'layers': 4.2141624706078, 'units': 68.32346892340422}",0.40811238854528764,0.5915534537319225
encodedOutputLayer1.csv,"{'activation': 'tanh', 'epochs': 39.53761860663473, 'layers': 4.122288711660613, 'units': 72.22147060292333}",0.47537554259553494,0.5244390362975951
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 39.300917960660584, 'layers': 3.3270021637521463, 'units': 71.7603562880075}",0.4223609555637802,0.5776768151322171
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 33.27053424153904, 'layers': 1.0601328699958144, 'units': 24.48898377346403}",0.36060279825066005,0.6392983400415196
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 39.59481407332548, 'layers': 4.713268718301023, 'units': 72.21787892922764}",0.37983303190644324,0.619770530861045
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 39.04438897614997, 'layers': 2.596859458791616, 'units': 38.03753883196806}",0.436983769629453,0.5628749484246095
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 40.90211421590321, 'layers': 2.465303243380532, 'units': 71.37867761648607}",0.46868402257263914,0.5312003210244283
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 35.11683287634464, 'layers': 3.474515326985109, 'units': 43.285393973653655}",0.43914149601991176,0.5606731324763112
encodedOutputLayer1.csv,"{'activation': 'relu', 'epochs': 40.32556742009113, 'layers': 2.4394383432651874, 'units': 71.6506026248056}",0.46868402257263914,0.5312003210244283
encodedOutputLayer2.csv,"{'activation': 'relu', 'epochs': 44.40648986884316, 'layers': 1.0004574992693795, 'units': 37.20993153686558}",0.4572974578997533,0.5426105548853796
encodedOutputLayer2.csv,"{'activation': 'relu', 'epochs': 31.846771895375955, 'layers': 1.7450408455106836, 'units': 41.1004654338743}",0.43539973071448745,0.5645976372655435
