0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,e_total,e_ionic,e_electronic,formula_pretty,Material ID
1.7662905,0.10384165,-1.5768539,0.031220865,0.6452689,0.4133345,-1.6461267,-0.09736431,0.4826588,0.7124744,0.85114336,-0.3454287,-1.8178295,-0.49365604,0.9710258,1.15524828,0,1.15524828,H2,mp-632250
1.6354401,-0.39338282,-1.4550489,-0.48706737,1.8000658,0.09674586,-0.45493218,-0.4111847,0.28408086,1.0284113,-1.0170928,-0.09621129,-1.6996355,0.118337885,1.0514735,1.247628367,6.67E-08,1.2476283,H2,mp-570752
1.4939677,-0.7843411,-1.4148278,-0.71956897,1.6968507,-0.3495196,-0.6133006,-0.1227418,0.026728164,0.7891475,-0.6563573,0.0510174,-1.518725,0.5011872,1.6204836,1.261263267,6.67E-09,1.26126326,H2,mp-23907
1.6562356,-1.6958265,-1.4003047,-0.31101495,1.4122753,-0.6170523,-0.9696704,-0.03753552,0.4590152,0.2477577,0.3365798,-0.2879441,-0.9888968,0.8259915,1.37039,1.39572475,2.00E-08,1.39572473,N2,mp-672234
1.6682063,-0.93966866,-1.5459199,-0.91710395,1.7517583,-0.088598534,-0.7842814,-0.027450234,0.19591272,0.65050393,-0.85152805,-0.060789987,-0.991394,0.5488658,1.3914876,1.40798192,1.03E-06,1.407980893,N2,mp-12103
1.7895905,-1.0931919,-1.0913712,-0.7026037,2.1347876,-0.456719,-0.7919181,-0.42581564,-0.188184,0.38122046,-0.6097696,-0.08728643,-0.84898764,0.7931694,1.1970798,1.53108903,3.33E-09,1.531089027,H2,mp-632291
1.7998998,-1.4159646,-1.3645838,-0.5446552,1.0350206,-0.9169883,-1.2906281,-0.40977013,0.6858219,0.07000896,0.4792664,0.07132955,-0.534257,0.9147247,1.4207755,1.53145984,0.00185455,1.52960529,N2,mp-154
1.4675196,-1.1674016,-1.260656,-1.0336791,1.8142481,-0.25852537,0.10385136,-0.62503976,0.38345137,0.3603119,-0.7637835,-0.10398321,-1.0084301,0.34268683,1.7494292,1.55239453,3.33E-09,1.552394527,H2,mp-850274
1.2209172,-1.424563,-0.8149868,-1.064926,1.5627612,-0.6126641,-0.35280803,0.17757154,-0.52957445,1.052268,-0.84302545,0.60783243,-1.2255902,0.7962557,1.4505322,1.661730977,0.01087242,1.650858557,H4C,mp-1021328
1.729399,-1.6613097,-0.9947644,-0.5456371,1.9711292,-0.7532672,-0.8740524,-0.11671166,0.4662162,-0.21897274,0.12110441,0.12850247,-0.785033,0.19965449,1.3337424,1.83444631,0.004384887,1.830061423,HCl,mp-684609
1.4207224,-1.6047726,-1.2267592,-0.5862503,1.4897721,-0.9342316,-1.3218291,0.12505274,0.8960936,-0.39395833,0.4414764,0.13804094,-0.54943895,0.98017573,1.1259063,1.896648767,0.379912777,1.51673599,Cl2,mp-570778
1.837745,-1.8105749,-1.4294147,-0.4454647,1.3901889,-0.7492119,-1.0441914,0.26300138,0.8769606,0.23085032,0.15986773,-0.16406804,-0.63350457,0.65582097,0.8619954,1.927902043,0.295954993,1.63194705,CF4,mp-1167
2.0588472,-1.621383,-1.230667,-1.0682921,1.5769277,-0.7334561,-0.32974195,-0.12816565,0.2741799,-0.36425108,0.3604066,0.009954181,-0.4567239,0.37068087,1.2816843,2.07646826,0.193456073,1.883012187,CO2,mp-556034
1.6158603,-1.8766215,-1.1517437,-0.5559,1.3439577,-0.9308318,-1.1982205,0.57075065,0.17275167,-0.29175285,0.69914204,0.14935502,-0.49922204,0.8864936,1.0659816,2.077496053,0.212375633,1.86512042,CO2,mp-20066
2.0710366,-1.9528685,-1.0681503,-0.6175764,1.2078913,-0.79706717,-1.0524597,0.3411095,0.39964166,-0.15421109,0.81897163,-0.1958533,-0.40785,0.7630205,0.64436555,2.112508733,0.221783783,1.89072495,CO2,mp-11725
1.5977627,-1.0943639,-1.205345,-0.56885356,1.4110925,-1.2282873,-1.6143512,0.02391886,0.2285985,-0.25515386,0.4130652,0.73775,-0.548259,0.94299054,1.1594357,2.129172643,1.129172643,1,Si3Ag3(SnP3)2,mp-18310
1.5772288,-1.9085641,-1.1486675,-0.50574034,0.9330829,-1.339478,-0.8348345,0.27314413,0.6329726,-0.32587734,0.24474204,0.2789497,-0.33065805,1.0102901,1.4434098,2.145893997,0.444654513,1.701239483,PF5,mp-8511
1.562393,-1.72176,-1.274466,-0.8653295,0.91292757,-1.1099664,-0.8105281,0.023717716,0.81143814,-0.32572618,-0.016182907,0.5495327,-0.24631053,0.92333466,1.586926,2.14752879,0.433110917,1.714417873,SF6,mp-8560
1.504596,-1.4337987,-1.2747502,-1.1519051,1.0061938,-1.3323114,-1.1436181,0.89364064,0.36705363,-0.22608234,0.64254224,0.33940715,-0.20732017,0.8585713,1.1577811,2.16252577,0.197198583,1.965327187,CO2,mp-644607
1.3717154,-1.9636462,-0.55904734,-0.5885966,0.7298244,-1.860743,-0.77320343,1.3431289,-0.07731678,0.2056233,0.1620785,0.6343105,-0.34374487,0.6019607,1.1176564,2.16889963,0.538604293,1.630295337,SiF4,mp-1818
1.8636919,-1.9317491,-0.7957101,-0.51455384,0.9523252,-1.5314945,-1.2300824,0.68156415,0.10241373,0.17193165,0.53651446,0.42762238,-0.08063868,1.0211447,0.32702044,2.18867938,0.563808523,1.624870857,BF3,mp-558149
1.3816091,-1.7628633,-0.53134125,-0.5552295,1.1908277,-1.5262789,-1.4542075,0.1821793,0.53079486,-0.39798585,0.4162532,0.27361012,-0.07430541,0.94421834,1.3827195,2.195219853,0.16372906,2.031490793,BCl3,mp-23184
1.7617587,-2.1940925,-1.2672192,-0.63335645,1.0033041,-0.8900825,-0.68237334,0.6627064,0.34296405,-0.24249397,0.3539848,0.28550267,-0.40598524,1.016272,0.88911116,2.213265673,0.33209927,1.881166403,CClF3,mp-28473
1.7395629,-1.2563779,-1.0037752,-0.8193131,1.3738053,-1.2988255,-1.1509856,-0.05439565,0.6959659,-0.8108951,0.17923254,0.13032764,-0.014517806,1.1258633,1.1643288,2.287834197,0.32852852,1.959305677,NO2,mp-557865
1.6142094,-1.7029347,-0.7968438,-0.9798414,1.6551666,-0.58670956,-1.323688,0.41923273,0.64679754,-0.040697716,-0.38487846,0.74780524,-0.5754272,1.1895438,0.11826566,2.287892913,0.85009695,1.437795963,BeF2,mp-559400
